Date,Sales
2024-01-01,202
2024-01-02,448
2024-01-03,370
2024-01-04,206
2024-01-05,171
2024-01-06,288
2024-01-07,120
2024-01-08,202
2024-01-09,221
2024-01-10,314
2024-01-11,430
2024-01-12,187
2024-01-13,472
2024-01-14,199
2024-01-15,459
2024-01-16,251
2024-01-17,230
2024-01-18,249
2024-01-19,408
2024-01-20,357
2024-01-21,443
2024-01-22,393
2024-01-23,485
2024-01-24,291
2024-01-25,376
2024-01-26,260
2024-01-27,413
2024-01-28,121
2024-01-29,352
2024-01-30,335
2024-01-31,444
2024-02-01,148
2024-02-02,158
2024-02-03,269
2024-02-04,287
2024-02-05,370
2024-02-06,289
2024-02-07,274
2024-02-08,150
2024-02-09,463
2024-02-10,154
2024-02-11,343
2024-02-12,419
2024-02-13,230
2024-02-14,406
2024-02-15,234
2024-02-16,120
2024-02-17,428
2024-02-18,266
2024-02-19,373
2024-02-20,487
2024-02-21,188
2024-02-22,415
2024-02-23,113
2024-02-24,341
2024-02-25,364
2024-02-26,445
2024-02-27,152
2024-02-28,485
2024-02-29,439
2024-03-01,191
2024-03-02,466
2024-03-03,363
2024-03-04,134
2024-03-05,305
2024-03-06,180
2024-03-07,149
2024-03-08,459
2024-03-09,487
2024-03-10,101
2024-03-11,489
2024-03-12,153
2024-03-13,205
2024-03-14,359
2024-03-15,409
2024-03-16,290
2024-03-17,317
2024-03-18,143
2024-03-19,261
2024-03-20,301
2024-03-21,369
2024-03-22,450
2024-03-23,403
2024-03-24,370
2024-03-25,314
2024-03-26,351
2024-03-27,289
2024-03-28,395
2024-03-29,312
2024-03-30,307
2024-03-31,336
2024-04-01,437
2024-04-02,466
2024-04-03,152
2024-04-04,379
2024-04-05,316
2024-04-06,351
2024-04-07,287
2024-04-08,479
2024-04-09,140
2024-04-10,256
2024-04-11,114
2024-04-12,400
2024-04-13,164
2024-04-14,444
2024-04-15,426
2024-04-16,108
2024-04-17,443
2024-04-18,228
2024-04-19,235
2024-04-20,162
2024-04-21,238
2024-04-22,180
2024-04-23,491
2024-04-24,262
2024-04-25,388
2024-04-26,478
2024-04-27,360
2024-04-28,330
2024-04-29,140
